,Date,User,Tweet
0,2023-01-02 03:30:47+00:00,Julieta52377025,@gh_trivia Que hagan algo y la vuelven a entrar ! Porque ella ella es la única que le daba hisa a la casa. Solo quedó alfa que ya también le están haciendo mala fama . Hay se quedan con los potus
1,2023-01-02 03:30:47+00:00,KanKanDo412,@POTUS Is he actually going to work this year. That’s frightening he fu#ked up the country enough only working 20% of the year.
2,2023-01-02 03:30:46+00:00,AJAhluwalia,@WesleyFromFL @NyeMartin1 @farzyness @elonmusk @MartinViecha @Sen_JoeManchin @POTUS What does your tweet have anything to do with this OP tweet and taxes?? Cry somewhere else
3,2023-01-02 03:30:42+00:00,ElainesEco,@POTUS Why do they have to use a picture from the spring?
4,2023-01-02 03:30:36+00:00,ProudfootKen,@POTUS No one has money to swap out appliance just because right now!  Thanks a lot!
5,2023-01-02 03:30:36+00:00,PozoP4,@acostabogados @POTUS https://t.co/TdyQXIB5dm
6,2023-01-02 03:30:35+00:00,atul54202,@POTUS @narendramodi https://t.co/DWsoYqIDBl
7,2023-01-02 03:30:34+00:00,EZ_cash22,@POTUS I wish i owned the ‘ new era’company  so I can throw all them 🧢 in this Bih
8,2023-01-02 03:30:33+00:00,MarcBowden7,@MotorCityDanFan @POTUS Trumper confused again
9,2023-01-02 03:30:31+00:00,StoneZoneAVP,"@POTUS Happy New Year to you ELITISTS! Us peasants be damned, but hey! Ukraine gets some money..."
