,Time,User,Tweet
0,2022-12-13 19:45:08+00:00,nytimes,"Picking a great Secret Santa gift is hard: You have a spending limit, and you may barely know anything about the re… https://t.co/kFqTe2Pn4E"
1,2022-12-13 19:41:24+00:00,nytimes,"From @TheAthleticFC: From worship in the parks and cafes of Buenos Aires to the pride of his barrio in Rosario, thi… https://t.co/5KL7QTl1Vt"
2,2022-12-13 19:41:00+00:00,WhiteHouse,Tune in for a briefing with Press Secretary Karine Jean-Pierre. https://t.co/VXPAT8JiLl
3,2022-12-13 19:30:12+00:00,nytimes,"This year, three top gastronomic guides released their first editions for Dubai. With such a dizzying array of dini… https://t.co/9kAVvyVXQQ"
4,2022-12-13 19:15:07+00:00,nytimes,"Critics Notebook: The arrest of Sam Bankman-Fried, the founder of the FTX cryptocurrency trading platform, may sign… https://t.co/AYjD5qsxU2"
5,2022-12-13 19:09:36+00:00,nytimes,The Argentina 🇦🇷 vs Croatia 🇭🇷 semifinal game is underway at the #FIFAWorldCup. After losing their first game of th… https://t.co/Oi1lREMbuW
6,2022-12-13 19:03:00+00:00,POTUS,"Americans can see our economic progress while driving down the street, finding relief at the pump as gas prices fal… https://t.co/q8gMS3ammt"
7,2022-12-13 19:02:58+00:00,NatGeo,"Today on #OverheardNatGeo we bring you a high-stakes story from ESPN’s series Pink Card. Hear how Iranian women, wh… https://t.co/WZrmJXqxJ6"
8,2022-12-13 19:02:06+00:00,NASA,"LIVE NOW: Following the successful splashdown of the #Artemis I mission to the Moon and back, our experts are on… https://t.co/R1X0fjN9J3"
9,2022-12-13 19:00:23+00:00,nytimes,"In 2018, Airbnb stopped showing prospective guests’ photos to hosts before a reservation was confirmed, in a move t… https://t.co/kE8d2zixmH"
10,2022-12-13 18:52:55+00:00,nytimes,"Breaking News: A three-alarm fire on Tuesday erupted at a NYPD evidence center in Brooklyn, burning parts of a ware… https://t.co/1XCbkqlw5F"
11,2022-12-13 18:46:26+00:00,JoeBiden,Some welcome news on the economic front. https://t.co/xii4FwC4Hf
12,2022-12-13 18:45:09+00:00,nytimes,"Scientists have made a monumental breakthrough in fusion technology, which is being hailed as a milestone on the pa… https://t.co/SmRV0Hdofj"
13,2022-12-13 18:41:28+00:00,WhiteHouse,"Great news: Today’s economic report shows more progress in slowing inflation down.

This Administration is making r… https://t.co/EOeQYgphNH"
14,2022-12-13 18:40:07+00:00,nytimes,"Hasta mil migrantes, principalmente de Nicaragua, cruzaron en masa a EE. UU. en El Paso el domingo, uno de los mayo… https://t.co/skVD30Wcbj"
15,2022-12-13 18:35:07+00:00,nytimes,From @TheAthleticFC: Lionel Messi faces an experienced and irrepressible Croatia side in a #FIFAWorldCup semifinal… https://t.co/kb0QCDCVZL
16,2022-12-13 18:30:10+00:00,nytimes,"On Tuesday night into Wednesday morning, skywatchers can catch the Geminid meteor shower, one of the best and most… https://t.co/hLoJNwARQa"
17,2022-12-13 18:20:04+00:00,nytimes,"From @TheAthletic: Cryptocurrency investors filed a lawsuit against Tom Brady, accusing the quarterback and basebal… https://t.co/xxyElmfgTX"
18,2022-12-13 18:15:10+00:00,nytimes,"President Biden will sign the Respect for Marriage Act on Tuesday, mandating federal recognition for same-sex marri… https://t.co/4ubMsb0fHX"
19,2022-12-13 18:10:07+00:00,nytimes,"This cheesy, spicy black bean bake is what you hope for from a really good chili or stew, but in a lot less time.… https://t.co/kYblvDiSy4"
