,Time,User,Tweet
0,2022-12-12 22:55:02+00:00,WhiteHouse,President Biden and the First Lady joined local military children today to sort donated toys for distribution to fa… https://t.co/XEUXCX7fdp
1,2022-12-12 22:54:48+00:00,POTUS,"For 75 years, Toys for Tots has brought joy, laughter, and smiles to families and kids across the country.

It's on… https://t.co/166tIykr9g"
2,2022-12-12 22:45:05+00:00,nytimes,"The 9/11 Commission prompted a national reckoning over the terrorist attacks. Now, bipartisan legislation to create… https://t.co/i6xFO66xk9"
3,2022-12-12 22:30:17+00:00,nytimes,Shopping for the person who has everything is tough. But these gift ideas from @Wirecutter will delight even the ha… https://t.co/Z4UK6cKE76
4,2022-12-12 22:20:09+00:00,nytimes,"Mike White always knew how it would end.

He and Jennifer Coolidge discussed the “White Lotus” season finale — whic… https://t.co/WpVuqeU3sw"
5,2022-12-12 22:15:06+00:00,nytimes,"RT @sskerrr: (1/7) The #WorldCup is coming to a close. A 12-year, $220 billion dollar project, Qatar pulled it off with the labor of migran…"
6,2022-12-12 22:14:01+00:00,NASA,"NASA scientists are at #AGU22 this week, discussing topics ranging from sea level change to exploring oceans on oth… https://t.co/8rLkB9CqSn"
7,2022-12-12 22:05:34+00:00,YoYo_Ma,RT @kathystott: It’s time to come home 😊We have both had such a special trip to Taiwan and shown incredible warmth and hospitality. Look fo…
8,2022-12-12 22:00:13+00:00,nytimes,"It's ""tipping,” or, as the old-timers call it, “brushing” time in Maine — the time of year when folks head into the… https://t.co/PNl4tnoua9"
9,2022-12-12 21:48:16+00:00,NASA,Did you miss @NASA_Orion splash down yesterday after its 1.4-million-mile (2.3-million-km) journey around the Moon… https://t.co/nbvNLML9uC
10,2022-12-12 21:45:08+00:00,nytimes,"Users have flocked to Lensa AI, an app that uses your selfies and artificial intelligence to create portraits in a… https://t.co/InqcOpdxpX"
11,2022-12-12 21:30:06+00:00,nytimes,"Croatia, a nation of four million people, needs one more win to reach a second straight World Cup final. If it happ… https://t.co/hVP48jM9bO"
12,2022-12-12 21:15:04+00:00,nytimes,A group of hospitals that serves patients in some of New York City’s poorest neighborhoods has been battling the ef… https://t.co/WS0ulvSjEc
13,2022-12-12 21:12:56+00:00,nytimes,"The last Confederate statue in Richmond, Virginia, was removed on Monday. The remains of Ambrose P. Hill, the Confe… https://t.co/JBaevUwBji"
14,2022-12-12 21:00:07+00:00,nytimes,"Buying a new DSLR doesn’t make sense anymore. If you’re shopping for a new camera today, @wirecutter recommends you… https://t.co/o2DICqKURa"
15,2022-12-12 20:58:49+00:00,NatGeo,"Dolphins rely on sound for feeding, socializing, and navigation, and are sensitive to loud noises. But Chinese whit… https://t.co/Xflgs2Hj8L"
16,2022-12-12 20:55:05+00:00,nytimes,From @TheAthleticFC: U.S. player Gio Reyna said Monday he “let (his) emotions get the best of (him)” after he was t… https://t.co/VzLSzbi4m1
17,2022-12-12 20:45:34+00:00,nytimes,"Breaking News: The Supreme Court on Monday refused to block a California law banning flavored tobacco, clearing the… https://t.co/XaAHu9FOF2"
18,2022-12-12 20:40:08+00:00,nytimes,"Mariah Carey’s seasonal blockbuster, “All I Want for Christmas Is You,” has returned to No. 1 yet again, ending the… https://t.co/80h8R1yFe5"
